symbol,close,avg_vol_30d,sessions,kind,dollar_vol
A,150.86000061035156,2103766.6666666665,30,stock,317374240.6173706
AA,49.970001220703125,4696150.0,30,stock,234666621.23260498
AACI,10.039999961853027,22150.0,30,stock,222385.99915504456
AACO,9.970000267028809,7490.0,30,stock,74675.30200004578
AACP,10.0600004196167,69456.66666666667,30,stock,698734.0958118439
AADX,12.930000305175781,1446623.3333333333,30,stock,18704840.141474403
AAL,13.130000114440918,59304723.333333336,30,stock,778671024.1535537
AAME,1.3600000143051147,114126.66666666667,30,stock,155212.26829926175
AAMI,93.58000183105469,405213.3333333333,30,stock,37919864.4753011
AAOI,105.52999877929688,10996043.333333334,30,stock,1160412439.5437622
AAON,79.4000015258789,1228690.0,30,stock,97557987.87483215
AAP,44.18000030517578,2125550.0,30,stock,93906799.64866638
AAPG,17.614999771118164,6136.666666666667,30,stock,108097.38192876181
AAPL,319.9700012207031,47699720.0,30,stock,15262479466.627197
AARD,5.380000114440918,124800.0,30,stock,671424.0142822266
AAT,22.040000915527344,430293.3333333333,30,stock,9483665.460611979
AAUC,23.6200008392334,861603.3333333334,30,stock,20351071.456419628
ABAT,2.7799999713897705,3374876.6666666665,30,stock,9382157.036777336
ABBV,256.4599914550781,4910890.0,30,stock,1259446807.4368286
ABCB,86.05000305175781,348873.3333333333,30,stock,30020551.398010254
ABCL,11.430000305175781,8432353.333333334,30,stock,96381801.17335002
ABEO,6.0,1383263.3333333333,30,stock,8299580.0
ABG,217.25999450683594,246980.0,30,stock,53658873.44329834
ABLV,0.9399999976158142,30723.333333333332,30,stock,28879.9332600832
ABM,47.04999923706055,378943.3333333333,30,stock,17829283.54422251
ABNB,181.94000244140625,5167476.666666667,30,stock,940170717.3492432
ABOS,3.180000066757202,360903.3333333333,30,stock,1147672.6240928967
ABR,5.25,3953020.0,30,stock,20753355.0
ABSI,8.819999694824219,2774313.3333333335,30,stock,24469442.753346764
ABT,108.33000183105469,8163083.333333333,30,stock,884306832.447052
ABTC,7.989999771118164,1715276.6666666667,30,stock,13705060.174070995
ABTS,1.5099999904632568,230733.33333333334,30,stock,348407.3311328888
ABUS,5.150000095367432,3373320.0,30,stock,17372598.321704865
ABVC,0.9599999785423279,105940.0,30,stock,101702.39772677422
ABX,9.609999656677246,513970.0,30,stock,4939251.523542404
ACA,145.4499969482422,586933.3333333334,30,stock,85369451.54215495
ACAA,9.970000267028809,39570.0,30,stock,394512.91056632996
ACAD,28.020000457763672,1657956.6666666667,30,stock,46455946.55895233
ACB,3.950000047683716,1689616.6666666667,30,stock,6673985.913900535
ACCL,2.740000009536743,34143.333333333336,30,stock,93552.73365894954
ACCO,4.420000076293945,682813.3333333334,30,stock,3018034.9854278564
ACCS,5.329999923706055,25780.0,30,stock,137407.3980331421
ACDC,5.150000095367432,1809100.0,30,stock,9316865.17252922
ACEL,11.880000114440918,286710.0,30,stock,3406114.8328113556
ACET,9.59000015258789,91786.66666666667,30,stock,880234.1473388672
ACFN,19.030000686645508,60526.666666666664,30,stock,1151822.5082270303
ACGC,10.020000457763672,35550.0,30,stock,356211.01627349854
ACGL,98.0999984741211,2094336.6666666667,30,stock,205454423.80429587
ACH,1.2100000381469727,1690196.6666666667,30,stock,2045138.0311425528
ACHC,28.1299991607666,2148923.3333333335,30,stock,60449211.56321844
ACHR,5.710000038146973,34628493.333333336,30,stock,197728698.25430554
ACHV,8.489999771118164,1291643.3333333333,30,stock,10966051.604366302
ACI,12.550000190734863,7336950.0,30,stock,92078723.89941216
ACIC,9.539999961853027,278426.6666666667,30,stock,2656190.3893788657
ACIU,2.859999895095825,210416.66666666666,30,stock,601791.6445930798
ACIW,52.95000076293945,971880.0,30,stock,51461046.741485596
ACLS,115.08000183105469,374813.3333333333,30,stock,43133519.08630371
ACM,66.58000183105469,2384026.6666666665,30,stock,158728499.83194986
ACMR,74.44000244140625,972503.3333333334,30,stock,72393150.50760905
ACN,186.72000122070312,5858903.333333333,30,stock,1093974437.5519814
ACNB,65.94999694824219,75193.33333333333,30,stock,4959000.10386149
ACNT,15.260000228881836,51376.666666666664,30,stock,784007.945092519
ACOG,9.520000457763672,141830.0,30,stock,1350221.6649246216
ACON,2.3499999046325684,65250.0,30,stock,153337.4937772751
ACP,4.949999809265137,455910.0,30,stock,2256754.4130420685
ACR,14.279999732971191,33033.333333333336,30,stock,471715.9911791484
ACRE,4.570000171661377,418456.6666666667,30,stock,1912347.0384995143
ACRS,6.170000076293945,1923650.0,30,stock,11868920.646762848
ACRV,2.130000114440918,349650.0,30,stock,744754.540014267
ACT,49.27000045776367,352986.6666666667,30,stock,17391653.22825114
ACTG,4.539999961853027,236850.0,30,stock,1075298.9909648895
ACTU,1.4800000190734863,398466.6666666667,30,stock,589730.6742668152
ACU,63.13999938964844,36770.0,30,stock,2321657.777557373
ACV,26.280000686645508,35103.333333333336,30,stock,922515.6241035463
ACVA,6.980000019073486,4157383.3333333335,30,stock,29018535.745962463
ACXP,1.4199999570846558,162623.33333333334,30,stock,230925.126354297
AD,38.5,175386.66666666666,30,stock,6752386.666666666
ADAC,10.09000015258789,13446.666666666666,30,stock,135676.86871846515
ADAM,9.75,843916.6666666666,30,stock,8228187.5
ADBE,266.510009765625,4819813.333333333,30,stock,1284528498.5351562
ADC,72.62000274658203,1489700.0,30,stock,108182018.09158325
ADCT,1.3600000143051147,1519606.6666666667,30,stock,2066665.0884048145
ADEA,26.5,1013805.4,30,stock,26865843.1
ADGM,0.5640000104904175,17087010.0,30,stock,9637073.819249868
ADI,362.25,3856140.0,30,stock,1396886715.0
ADIG,20.649999618530273,1165085.1851851852,27,stock,24059008.629629347
ADIL,7.119999885559082,76670.0,30,stock,545890.3912258148
ADM,84.61000061035156,3921890.0,30,stock,331831115.2937317
ADMA,9.619999885559082,2138346.6666666665,30,stock,20570894.688618977
ADNT,20.010000228881836,947176.6666666666,30,stock,18953005.316791534
ADP,277.6199951171875,2290553.3333333335,30,stock,635903405.2156576
ADPT,24.280000686645508,2212876.6666666665,30,stock,53728646.98612849
ADSE,11.5600004196167,21806.666666666668,30,stock,252085.07581710815
ADSK,217.89999389648438,2093440.0,30,stock,456160563.22265625
ADT,7.460000038146973,7461110.0,30,stock,55659880.88461876
ADTN,7.099999904632568,2209000.0,30,stock,15683899.789333344
ADUR,13.579999923706055,424333.3333333333,30,stock,5762446.634292603
ADUS,118.76000213623047,210120.0,30,stock,24953851.648864746
ADV,31.450000762939453,97976.66666666667,30,stock,3081366.241416931
ADVB,9.335000038146973,240216.66666666666,30,stock,2242422.592496872
ADX,26.1299991607666,281876.6666666667,30,stock,7365437.063439688
AEAQ,10.100000381469727,30853.333333333332,30,stock,311618.6784362793
AEBI,12.949999809265137,423623.3333333333,30,stock,5485922.085866928
AEC,4.21999979019165,43560.0,30,stock,183823.1908607483
AEE,106.47000122070312,1477486.6666666667,30,stock,157308007.2035726
AEF,9.829999923706055,91010.0,30,stock,894628.293056488
AEG,9.140000343322754,4669856.666666667,30,stock,42682491.53660139
AEHL,8.170000076293945,2765122.3333333335,30,stock,22591049.674295425
AEHR,86.26000213623047,2577833.3333333335,30,stock,222363908.84017944
AEI,1.409999966621399,39920.0,30,stock,56287.198667526245
AEIS,280.8999938964844,640743.3333333334,30,stock,179984798.4225464
AEM,204.72999572753906,3334240.0,30,stock,682618940.9545898
AEMD,1.8200000524520874,2175361.3333333335,30,stock,3959157.74076891
AENT,5.130000114440918,17570.0,30,stock,90134.10201072693
AEO,17.389999389648438,4488736.666666667,30,stock,78059127.8936259
AEON,0.2409999966621399,3166033.3333333335,30,stock,763014.022765557
AEP,124.5,3626313.3333333335,30,stock,451476010.0
AER,145.39999389648438,1090556.6666666667,30,stock,158566932.6771037
AERT,7.179999828338623,14623.333333333334,30,stock,104995.53082307181
AES,14.789999961853027,7218186.666666667,30,stock,106756980.52464804
AESI,13.460000038146973,3535080.0,30,stock,47582176.9348526
AESP,9.979999542236328,64646.666666666664,30,stock,645173.7037404377
AEVA,15.6899995803833,1824300.0,30,stock,28623266.234493256
AEXA,11.40999984741211,56786.666666666664,30,stock,647935.858001709
AEYE,7.610000133514404,128356.66666666667,30,stock,976794.2504707973
AFB,10.600000381469727,60970.0,30,stock,646282.0232582092
AFCG,3.569999933242798,100590.0,30,stock,359106.29328489304
AFG,142.72000122070312,341923.3333333333,30,stock,48799298.550720215
AFJK,12.199999809265137,32563.333333333332,30,stock,397272.66045570374
AFL,117.20999908447266,2116766.6666666665,30,stock,248106219.0620422
AFRI,11.029999732971191,18113.333333333332,30,stock,199790.06182988483
AFRM,72.3499984741211,4573416.666666667,30,stock,330886688.85485333
AFYA,14.680000305175781,143866.66666666666,30,stock,2111962.710571289
AG,20.969999313354492,10673213.333333334,30,stock,223817276.271286
AGBK,6.75,303590.0,30,stock,2049232.5
